cell,pos_first_factual,pos_first_cf_a1,pos_first_cf_a0,pse_full,n_pairs,n_consistent,pse_consistent,pse_lpm_position_adjusted,position_coef_pp
k12_LH_neutral_absent_info,0.5151515151515151,0.5151515151515151,0.5454545454545454,22.22222222222222,99.0,72.0,15.277777777777779,22.222222222222204,-6.060606060606079
k12_LH_neutral_absent_zero,0.51010101010101,0.5202020202020202,0.5404040404040404,22.22222222222222,99.0,74.0,16.216216216216218,22.222222222222186,-6.060606060606089
k12_LH_neutral_absent_zero_s20001,0.53,,,,,,,,
k12_LH_neutral_learned_info_b030,0.6767676767676768,0.6363636363636364,0.7474747474747475,22.22222222222222,99.0,40.0,2.5,22.222222222222115,-38.38383838383827
k12_LH_neutral_learned_info_b045,0.6818181818181818,0.6313131313131313,0.7626262626262627,25.252525252525253,99.0,36.0,2.7777777777777777,25.25252525252526,-39.3939393939394
k12_LH_neutral_learned_info_b060,0.6666666666666666,0.6616161616161617,0.7424242424242424,21.21212121212121,99.0,38.0,2.631578947368421,21.212121212121193,-40.404040404040416
k12_LH_neutral_learned_zero,0.6565656565656566,0.6363636363636364,0.7474747474747475,24.242424242424242,99.0,37.0,2.7027027027027026,24.242424242424242,-38.3838383838384
k12_LH_social_absent_info,0.47474747474747475,0.5151515151515151,0.5050505050505051,16.161616161616163,99.0,66.0,7.575757575757576,16.16161616161616,-2.0202020202020283
k12_LH_social_absent_zero,0.4797979797979798,0.5050505050505051,0.5,15.656565656565657,99.0,69.0,7.246376811594203,15.656565656565647,-0.5050505050505009
k12_LH_social_learned_info_b030,0.7222222222222222,0.6818181818181818,0.7777777777777778,24.747474747474747,99.0,29.0,3.4482758620689653,24.747474747474733,-45.95959595959593
k12_LH_social_learned_info_b045,0.7525252525252525,0.702020202020202,0.8131313131313131,20.2020202020202,99.0,28.0,0.0,20.202020202020083,-51.515151515151345
k12_LH_social_learned_info_b060,0.7323232323232324,0.696969696969697,0.7828282828282829,19.696969696969695,99.0,31.0,0.0,19.696969696969674,-47.979797979797965
k12_LH_social_learned_zero,0.7323232323232324,0.6868686868686869,0.797979797979798,17.17171717171717,99.0,33.0,-3.0303030303030303,17.171717171717166,-48.484848484848506
k18_HH_neutral_learned_zero,0.6868686868686869,0.6262626262626263,0.7272727272727273,14.14141414141414,99.0,49.0,4.081632653061225,14.141414141414138,-35.35353535353536
k18_LH_neutral_learned_zero,0.7121212121212122,0.6313131313131313,0.7323232323232324,21.21212121212121,99.0,42.0,2.380952380952381,21.212121212121126,-36.363636363636246
k6_HH_neutral_learned_zero,0.7171717171717171,0.6616161616161617,0.7777777777777778,17.67676767676768,99.0,38.0,5.263157894736842,17.676767676767565,-43.93939393939385
k6_LH_neutral_learned_zero,0.7373737373737373,0.6818181818181818,0.7777777777777778,15.656565656565657,99.0,40.0,5.0,15.656565656565602,-45.95959595959584
