semantic,beta,ideal_pp,model_pp,bayes_pp
neutral,0.0,0.0,24.242424242424242,0.0
neutral,0.3,10.1010101010101,29.292929292929294,6.0606060606060606
neutral,0.45,20.2020202020202,26.767676767676768,19.19191919191919
neutral,0.6,31.313131313131315,27.272727272727273,30.303030303030305
social,0.0,0.0,16.161616161616163,0.0
social,0.3,10.1010101010101,18.181818181818183,6.0606060606060606
social,0.45,20.2020202020202,21.21212121212121,19.19191919191919
social,0.6,31.313131313131315,21.717171717171716,30.303030303030305
