model,semantic,beta,channel,ideal_pp,model_pse_pp,excess_vs_ideal_pp,bayes_ub_pp,R_LLM,R_Ideal,gamma,gamma_lo,gamma_hi,alpha_pp,acc_delta_pp,acc_lo,acc_hi,acc_excl0,n_pairs
qwen,social,0.3,temperature=0,4.04,17.67676767676768,13.63676767676768,6.06,0.3181818181818182,0.0404,-0.0222952231528887,-0.218174683710409,0.162436625828188,18.280737309399733,-9.09,-16.67,-2.02,True,99
qwen,social,0.45,temperature=0,13.13,19.19191919191919,6.0619191919191895,17.17,0.2575757575757575,0.0505,-0.0222952231528887,-0.218174683710409,0.162436625828188,18.280737309399733,-9.09,-16.67,-2.02,True,99
qwen,social,0.6,temperature=0,23.23,17.171717171717173,-6.058282828282827,27.27,0.2575757575757575,0.0404,-0.0222952231528887,-0.218174683710409,0.162436625828188,18.280737309399733,-9.09,-16.67,-2.02,True,99
gpt5.6-terra,neutral,0.0,reasoning (temp unpinned),0.0,29.29292929292929,29.29292929292929,0.0,0.3333333333333333,0.0202,0.0796257969746012,-0.1321788229778391,0.2898379009875509,30.382648137425218,-12.12121212121212,-21.21212121212121,-3.0303030303030303,True,99
gpt5.6-terra,neutral,0.3,reasoning (temp unpinned),4.04,31.818181818181817,27.778181818181817,6.06,0.3383838383838384,0.0404,0.0796257969746012,-0.1321788229778391,0.2898379009875509,30.382648137425218,-12.12121212121212,-21.21212121212121,-3.0303030303030303,True,99
gpt5.6-terra,neutral,0.45,reasoning (temp unpinned),13.13,31.818181818181817,18.688181818181818,17.17,0.2373737373737373,0.0505,0.0796257969746012,-0.1321788229778391,0.2898379009875509,30.382648137425218,-12.12121212121212,-21.21212121212121,-3.0303030303030303,True,99
gpt5.6-terra,neutral,0.6,reasoning (temp unpinned),23.23,31.818181818181817,8.588181818181816,27.27,0.2121212121212121,0.0404,0.0796257969746012,-0.1321788229778391,0.2898379009875509,30.382648137425218,-12.12121212121212,-21.21212121212121,-3.0303030303030303,True,99
gpt5.6-terra,social,0.0,reasoning (temp unpinned),0.0,26.262626262626263,26.262626262626263,0.0,0.2878787878787879,0.0202,0.0589230897612053,-0.1385488867358075,0.2596199110356891,26.677604066139104,-10.1010101010101,-18.181818181818183,-2.525252525252525,True,99
gpt5.6-terra,social,0.3,reasoning (temp unpinned),4.04,27.77777777777778,23.73777777777778,6.06,0.2575757575757575,0.0404,0.0589230897612053,-0.1385488867358075,0.2596199110356891,26.677604066139104,-10.1010101010101,-18.181818181818183,-2.525252525252525,True,99
gpt5.6-terra,social,0.45,reasoning (temp unpinned),13.13,26.767676767676768,13.637676767676767,17.17,0.1868686868686868,0.0505,0.0589230897612053,-0.1385488867358075,0.2596199110356891,26.677604066139104,-10.1010101010101,-18.181818181818183,-2.525252525252525,True,99
gpt5.6-terra,social,0.6,reasoning (temp unpinned),23.23,28.282828282828284,5.052828282828283,27.27,0.1868686868686868,0.0404,0.0589230897612053,-0.1385488867358075,0.2596199110356891,26.677604066139104,-10.1010101010101,-18.181818181818183,-2.525252525252525,True,99
