corr,semantic,n,R_LLM,R_Ideal,PSE_pp,lo,hi,ideal_pse,excess_pp
0.0,social,99,0.23232323232323232,0.0101,15.656565656565657,9.090909090909092,22.22222222222222,-1.01,16.66656565656566
0.0,neutral,99,0.30303030303030304,0.0101,22.22222222222222,15.656565656565657,28.78787878787879,-1.01,23.232222222222223
0.4,social,99,0.29292929292929293,0.0101,21.71717171717172,15.151515151515152,28.28282828282828,1.01,20.70717171717172
0.4,neutral,99,0.35858585858585856,0.0101,34.34343434343434,27.77777777777778,40.909090909090914,1.01,33.33343434343434
0.7,social,99,0.3181818181818182,0.1414,28.28282828282828,21.71717171717172,34.84848484848485,12.12,16.16282828282828
0.7,neutral,99,0.35858585858585856,0.1414,32.323232323232325,24.747474747474747,39.8989898989899,12.12,20.203232323232328
