semantic,beta,ideal_pp,model_pp,bayes_pp
neutral,0.0,0.0,24.242424242424242,0.0
neutral,0.3,4.040404040404041,22.22222222222222,6.0606060606060606
neutral,0.45,13.131313131313133,25.252525252525253,17.17171717171717
neutral,0.6,23.232323232323232,21.21212121212121,27.27272727272727
social,0.0,0.0,17.171717171717173,0.0
social,0.3,4.040404040404041,24.747474747474747,6.0606060606060606
social,0.45,13.131313131313133,20.2020202020202,17.17171717171717
social,0.6,23.232323232323232,19.696969696969695,27.27272727272727
