model,semantic,residual_pp,lo,hi,n,excl0
DeepSeek-V4-Flash-0731,neutral,-2.0202020202020203,-5.05050505050505,0.5050505050505051,99,False
DeepSeek-V4-Flash-0731,social,-1.0101010101010102,-4.040404040404041,2.0202020202020203,99,False
qwen3.7-max,neutral,3.0303030303030303,-1.0101010101010102,7.07070707070707,99,False
qwen3.7-max,social,4.040404040404041,1.0101010101010102,7.575757575757576,99,True
gpt-5.6-terra,neutral,-5.05050505050505,-10.606060606060606,0.0,99,False
gpt-5.6-terra,social,0.0,-5.05050505050505,5.05050505050505,99,False
claude-sonnet-4-5,neutral,-6.565656565656567,-13.131313131313131,0.0,99,False
claude-sonnet-4-5,social,1.0101010101010102,-5.555555555555555,7.575757575757576,99,False
