cell,pos_first_factual,pos_first_cf_a1,pos_first_cf_a0,pse_full,n_pairs,n_consistent,pse_consistent,pse_lpm_position_adjusted,position_coef_pp
k12_LH_neutral_absent_info,0.48484848484848486,0.5,0.5,20.2020202020202,99,72,13.88888888888889,20.202020202020154,-3.4460081277904334e-14
k12_LH_neutral_absent_zero,0.47474747474747475,0.5050505050505051,0.5050505050505051,20.2020202020202,99,74,14.864864864864865,20.202020202020186,-1.0101010101010075
k12_LH_neutral_learned_info_b030,0.4898989898989899,0.5303030303030303,0.4494949494949495,28.28282828282828,99,74,21.62162162162162,28.282828282828266,2.0202020202020123
k12_LH_neutral_learned_info_b045,0.47474747474747475,0.5151515151515151,0.41919191919191917,27.77777777777778,99,75,21.333333333333336,27.77777777777776,6.5656565656565675
k12_LH_neutral_learned_info_b060,0.48484848484848486,0.51010101010101,0.46464646464646464,29.797979797979796,99,76,25.0,29.7979797979798,2.525252525252514
k12_LH_neutral_learned_zero,0.42424242424242425,0.4797979797979798,0.3787878787878788,25.252525252525253,99,68,19.11764705882353,25.252525252525267,14.141414141414144
k12_LH_social_absent_info,0.45454545454545453,0.4797979797979798,0.47474747474747475,11.616161616161616,99,61,3.278688524590164,11.616161616161598,4.545454545454546
k12_LH_social_absent_zero,0.4444444444444444,0.48484848484848486,0.47474747474747475,11.11111111111111,99,65,3.076923076923077,11.111111111111084,4.040404040404008
k12_LH_social_learned_info_b030,0.47474747474747475,0.494949494949495,0.4393939393939394,17.67676767676768,99,68,7.352941176470589,17.676767676767682,6.565656565656565
k12_LH_social_learned_info_b045,0.43434343434343436,0.494949494949495,0.3939393939393939,19.19191919191919,99,65,9.230769230769232,19.191919191919162,11.111111111111034
k12_LH_social_learned_info_b060,0.4444444444444444,0.494949494949495,0.4444444444444444,17.17171717171717,99,71,9.859154929577464,17.17171717171712,6.060606060605996
k12_LH_social_learned_zero,0.40404040404040403,0.45454545454545453,0.37373737373737376,18.181818181818183,99,63,7.936507936507936,18.181818181818166,17.17171717171717
k18_HH_neutral_learned_zero,0.4797979797979798,0.5151515151515151,0.4595959595959596,15.656565656565657,99,66,9.090909090909092,15.656565656565627,2.525252525252485
k18_LH_neutral_learned_zero,0.4595959595959596,0.5,0.41919191919191917,24.242424242424242,99,50,10.0,24.24242424242421,8.080808080808016
k6_HH_neutral_learned_zero,0.4898989898989899,0.5050505050505051,0.47474747474747475,26.262626262626267,99,72,19.444444444444446,26.262626262626256,2.020202020202018
k6_LH_neutral_learned_zero,0.5353535353535354,0.5353535353535354,0.5505050505050505,19.696969696969695,99,69,13.043478260869565,19.696969696969642,-8.585858585858585
