semantic,beta,ideal_pp,model_pp,bayes_pp
neutral,0.0,0.0,29.292929292929294,0.0
neutral,0.3,4.040404040404041,31.818181818181817,6.0606060606060606
neutral,0.45,13.131313131313133,31.818181818181817,17.17171717171717
neutral,0.6,23.232323232323232,31.818181818181817,27.27272727272727
social,0.0,0.0,26.262626262626263,0.0
social,0.3,4.040404040404041,27.77777777777778,6.0606060606060606
social,0.45,13.131313131313133,26.767676767676768,17.17171717171717
social,0.6,23.232323232323232,28.282828282828284,27.27272727272727
