cell,pos_first_factual,pos_first_cf_a1,pos_first_cf_a0,pse_full,n_pairs,n_consistent,pse_consistent,pse_lpm_position_adjusted,position_coef_pp
k12_LH_neutral_absent_info,0.41414141414141414,0.41919191919191917,0.3686868686868687,22.22222222222222,99,63,12.698412698412698,22.22222222222221,21.212121212121104
k12_LH_neutral_absent_zero,0.42424242424242425,0.41414141414141414,0.3686868686868687,22.727272727272727,99,61,13.114754098360656,22.72727272727272,21.71717171717161
k12_LH_neutral_learned_info_b030,0.5050505050505051,0.5151515151515151,0.4898989898989899,31.818181818181817,99,85,29.411764705882355,31.818181818181817,-0.5050505050505135
k12_LH_neutral_learned_info_b045,0.5252525252525253,0.5151515151515151,0.4696969696969697,31.818181818181817,99,81,28.39506172839506,31.818181818181806,1.5151515151515043
k12_LH_neutral_learned_info_b060,0.51010101010101,0.5050505050505051,0.5,31.818181818181817,99,78,26.923076923076923,31.818181818181802,-0.5050505050505196
k12_LH_neutral_learned_zero,0.5404040404040404,0.51010101010101,0.4898989898989899,29.292929292929294,99,77,23.376623376623375,29.292929292929287,-4.746897228687186e-15
k12_LH_social_absent_info,0.35858585858585856,0.3484848484848485,0.35353535353535354,7.575757575757576,99,56,1.7857142857142856,7.575757575757564,29.797979797979796
k12_LH_social_absent_zero,0.35858585858585856,0.37373737373737376,0.3484848484848485,7.575757575757576,99,59,1.694915254237288,7.575757575757564,27.77777777777778
k12_LH_social_learned_info_b030,0.494949494949495,0.48484848484848486,0.4595959595959596,27.77777777777778,99,75,21.333333333333336,27.777777777777768,5.55555555555555
k12_LH_social_learned_info_b045,0.494949494949495,0.5050505050505051,0.4696969696969697,26.767676767676768,99,77,20.77922077922078,26.767676767676708,2.5252525252524625
k12_LH_social_learned_info_b060,0.5252525252525253,0.5151515151515151,0.5050505050505051,28.28282828282828,99,69,18.84057971014493,28.282828282828277,-2.020202020202023
k12_LH_social_learned_zero,0.45454545454545453,0.4898989898989899,0.4696969696969697,26.262626262626267,99,78,20.51282051282051,26.26262626262626,4.040404040404031
k18_HH_neutral_learned_zero,0.5404040404040404,0.5555555555555556,0.51010101010101,11.616161616161616,99,78,5.128205128205128,11.616161616161602,-6.565656565656558
k18_LH_neutral_learned_zero,0.48484848484848486,0.47474747474747475,0.48484848484848486,27.27272727272727,99,74,22.972972972972975,27.272727272727266,4.040404040404041
k6_HH_neutral_learned_zero,0.5050505050505051,0.48484848484848486,0.4494949494949495,8.585858585858585,99,74,1.3513513513513513,8.585858585858588,6.565656565656577
k6_LH_neutral_learned_zero,0.48484848484848486,0.4696969696969697,0.43434343434343436,6.565656565656567,99,80,1.25,6.56565656565655,9.595959595959586
