semantic,beta,ideal_pp,model_pp,bayes_pp
neutral,0.0,0.0,26.767676767676768,0.0
neutral,0.3,9.090909090909092,30.303030303030305,12.121212121212121
neutral,0.45,13.131313131313133,30.80808080808081,12.121212121212121
neutral,0.6,20.2020202020202,30.303030303030305,20.2020202020202
social,0.0,0.0,13.636363636363637,0.0
social,0.3,9.090909090909092,17.171717171717173,12.121212121212121
social,0.45,13.131313131313133,15.656565656565656,12.121212121212121
social,0.6,20.2020202020202,16.161616161616163,20.2020202020202
