corner,rule,semantic,R_LLM,PSE,CI_lo,CI_hi,missing_rate,n_pairs,n_attempted,n_planned
HL,rule-absent,social,0.20454545454545459,0.015993265993265993,-0.010942760942760942,0.04292929292929293,0.003367003367003367,99,1188,1188
HL,rule-absent,neutral,0.34090909090909094,0.08333333333333333,0.04292929292929293,0.12626262626262627,0.0,99,1188,1188
HL,rule-provided,social,0.32738095238095233,0.042682926829268296,-0.018292682926829267,0.10365853658536585,0.5808080808080808,41,824,1188
HL,rule-provided,neutral,,,,,1.0,0,0,1188
