corner,rule,semantic,R_LLM,PSE,CI_lo,CI_hi,missing_rate,n_factual,n_a1,n_a0,note
LL,absent,social,0.25757575757575757,-0.0016835016835016836,-0.01430976430976431,0.010942760942760942,0.0008417508417508417,396,395,396,complete
LL,absent,neutral,0.3417721518987342,0.0,-0.007575757575757576,0.007575757575757576,0.0008417508417508417,395,396,396,complete
LL,provided,social,0.26249999999999996,,,,0.48717948717948717,320,0,0,incomplete: no LLM budget
LL,provided,neutral,,,,,,0,0,0,incomplete: no LLM budget
