cell,pos_first_factual,pos_first_cf_a1,pos_first_cf_a0,pse_full,n_pairs,n_consistent,pse_consistent,pse_lpm_position_adjusted,position_coef_pp
k12_LH_neutral_learned_info_b030,0.4797979797979798,0.5076142131979695,0.4898989898989899,21.21212121212121,99,63,12.698412698412698,21.104171485850912,0.10794972627035744
k12_LH_neutral_learned_info_b045,0.5380710659898477,0.5177664974619289,0.5656565656565656,25.757575757575758,99,56,16.071428571428573,25.686894389184516,-8.515177217467274
k12_LH_neutral_learned_info_b060,0.5505050505050505,0.5151515151515151,0.5404040404040404,23.737373737373737,99,58,17.24137931034483,23.73737373737372,-5.555555555555546
k12_LH_neutral_learned_info,0.5858585858585859,0.5909090909090909,0.5656565656565656,22.727272727272727,99,58,12.068965517241379,22.727272727272716,-15.656565656565643
k12_LH_neutral_learned_zero,0.5918367346938775,0.5050505050505051,0.5255102040816326,21.21212121212121,99,61,18.0327868852459,21.63986806843951,-3.0456852791878126
k12_LH_social_learned_info_b030,0.5431472081218274,0.5303030303030303,0.4898989898989899,23.232323232323232,99,58,12.068965517241379,23.232323232323225,-2.020202020202009
k12_LH_social_learned_info_b045,0.5353535353535354,0.5404040404040404,0.5606060606060606,27.27272727272727,99,56,16.071428571428573,27.27272727272726,-10.10101010101009
k12_LH_social_learned_info_b060,0.5555555555555556,0.5858585858585859,0.5909090909090909,21.71717171717172,99,59,20.33898305084746,21.71717171717173,-17.676767676767668
k12_LH_social_learned_info,0.5303030303030303,0.5707070707070707,0.5404040404040404,18.181818181818183,99,58,10.344827586206897,18.181818181818166,-11.111111111111097
k12_LH_social_learned_zero,0.558974358974359,0.5958549222797928,0.5380710659898477,18.556701030927837,97,49,8.16326530612245,18.444381499615574,-13.085501557884552
k18_LH_neutral_learned_info,0.5431472081218274,0.5353535353535354,0.6414141414141414,32.82828282828283,99,65,29.230769230769234,32.82828282828282,-17.67676767676769
k18_LH_neutral_learned_zero,0.45454545454545453,0.51010101010101,0.4489795918367347,23.232323232323232,99,65,12.307692307692308,23.696145124716566,4.060913705583761
k18_LH_social_learned_info,0.6185567010309279,0.5404040404040404,0.5618556701030928,19.19191919191919,99,65,9.230769230769232,18.362813873307783,-10.341381305559961
k18_LH_social_learned_zero,0.515625,0.5454545454545454,0.634020618556701,12.626262626262626,99,50,8.0,13.355201499531372,-17.85714285714289
k6_LH_neutral_learned_info,0.5151515151515151,0.494949494949495,0.5050505050505051,22.22222222222222,99,61,18.0327868852459,22.222222222222214,4.457690045430706e-15
k6_LH_neutral_learned_zero,0.5858585858585859,0.5606060606060606,0.6161616161616161,15.656565656565657,99,58,10.344827586206897,15.656565656565643,-17.676767676767675
k6_LH_social_learned_info,0.46464646464646464,0.4898989898989899,0.43434343434343436,23.737373737373737,99,63,11.11111111111111,23.73737373737372,7.575757575757569
k6_LH_social_learned_zero,0.46938775510204084,0.5252525252525253,0.4744897959183674,6.565656565656567,99,77,2.5974025974025974,6.708106708106684,0.3626003626003381
