k,corner,n,R_LLM,R_Ideal,G_ICL_pp,PSE_pp,lo,hi,model
6,HH,99,0.29292929292929293,0.010101010101010102,28.28282828282828,26.262626262626267,19.19191919191919,33.83838383838384,qwen3.7-max
18,HH,99,0.24242424242424243,0.030303030303030304,21.21212121212121,15.656565656565657,9.090909090909092,22.22222222222222,qwen3.7-max
6,LH,99,0.3181818181818182,0.010101010101010102,30.808080808080806,19.696969696969695,13.636363636363635,26.262626262626267,qwen3.7-max
18,LH,99,0.43434343434343436,0.020202020202020204,41.41414141414141,24.242424242424242,18.181818181818183,30.303030303030305,qwen3.7-max
