semantic,rule,info,n,R_LLM,R_Ideal,G_ICL_pp,PSE_pp,lo,hi,PSE_Bayes,excess,model
neutral,absent,False,99,0.35858585858585856,,,20.2020202020202,13.636363636363635,27.27272727272727,0.0,20.2020202020202,qwen3.7-max
social,absent,False,99,0.3181818181818182,,,11.11111111111111,6.0606060606060606,16.161616161616163,0.0,11.11111111111111,qwen3.7-max
neutral,absent,True,99,0.3181818181818182,,,20.2020202020202,14.14141414141414,27.27272727272727,10.1010101010101,10.1010101010101,qwen3.7-max
social,absent,True,99,0.30808080808080807,,,11.616161616161616,6.565656565656567,16.666666666666664,10.1010101010101,1.5151515151515156,qwen3.7-max
neutral,learned,False,99,0.3787878787878788,0.0202,35.85878787878788,25.252525252525253,18.181818181818183,32.82828282828283,0.0,25.252525252525253,qwen3.7-max
social,learned,False,99,0.3484848484848485,0.0202,32.82848484848485,18.181818181818183,12.626262626262626,23.737373737373737,0.0,18.181818181818183,qwen3.7-max
