stratum,prox_bin,w_Z,n_Q,tau_Q_pp,n_P,tau_P_pp
0,0,0.42857142857142855,11,2.272727272727273,5,20.0
0,1,0.8571428571428571,11,6.8181818181818175,10,0.0
0,2,1.7142857142857142,11,-2.272727272727273,19,6.578947368421052
1,0,0.42857142857142855,11,2.272727272727273,5,5.0
1,1,0.8571428571428571,11,4.545454545454546,9,2.7777777777777777
1,2,1.7142857142857142,12,2.083333333333333,19,0.0
2,0,0.42857142857142855,11,-6.8181818181818175,5,-5.0
2,1,0.8571428571428571,11,0.0,9,5.555555555555555
2,2,1.7142857142857142,11,2.272727272727273,19,0.0
