corner,bin,n_Q,tau_Q,n_P,tau_P,q,p,w
LL,lo,12,0.0625,4,-0.0625,0.125,0.037037037037037035,0.2962962962962963
LL,hi,12,-0.041666666666666664,7,0.07142857142857142,0.125,0.07407407407407407,0.5925925925925926
LH,lo,13,0.09615384615384616,15,0.0,0.125,0.14814814814814814,1.1851851851851851
LH,hi,13,0.019230769230769232,30,0.09166666666666666,0.125,0.2962962962962963,2.3703703703703702
HL,lo,12,0.020833333333333332,11,0.0,0.125,0.1111111111111111,0.8888888888888888
HL,hi,13,-0.038461538461538464,22,0.0,0.125,0.2222222222222222,1.7777777777777777
HH,lo,12,-0.020833333333333332,4,0.0,0.125,0.037037037037037035,0.2962962962962963
HH,hi,13,0.038461538461538464,7,0.10714285714285714,0.125,0.07407407407407407,0.5925925925925926
