Z_index,corner,proxymag,n_Q,n_P,tau_Q_pp,tau_P_pp,q,p,w
0,LL,lo,13,4,11.538461538461538,12.5,0.125,0.037037037037037035,0.2962962962962963
1,LL,hi,13,7,11.538461538461538,0.0,0.125,0.07407407407407407,0.5925925925925926
2,LH,lo,13,15,30.76923076923077,25.0,0.125,0.14814814814814814,1.1851851851851851
3,LH,hi,13,30,5.769230769230769,17.5,0.125,0.2962962962962963,2.3703703703703702
4,HL,lo,12,11,4.166666666666666,6.8181818181818175,0.125,0.1111111111111111,0.8888888888888888
5,HL,hi,12,22,2.083333333333333,4.545454545454546,0.125,0.2222222222222222,1.7777777777777777
6,HH,lo,12,4,25.0,18.75,0.125,0.037037037037037035,0.2962962962962963
7,HH,hi,12,7,14.583333333333334,7.142857142857142,0.125,0.07407407407407407,0.5925925925925926
