condition,field,pearson_r,p_value,n_pairs
reduced,hemoglobin_index,-0.3090099329567591,0.0017589082507020466,100
reduced,creatinine_marker,0.2165121200138694,0.030492451432009442,100
reduced,platelet_factor,0.10702207166779489,0.28922980218060257,100
reduced,fibrinogen_level,0.25759992994107817,0.009669336209674088,100
partial_social,hemoglobin_index,-0.2583320120311518,0.016326554228464372,86
partial_social,creatinine_marker,0.26075963360456217,0.015312148907865204,86
partial_social,platelet_factor,0.021901480580988224,0.8413570874789856,86
partial_social,fibrinogen_level,0.2613496929711798,0.01507398232571698,86
partial_social,community_health_index,0.10631673559971652,0.3299183541100855,86
